survived,pclass,age,sibsp,parch,fare,who,adult_male,deck,embark_town,alive,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third
1,1,38.0,1,0,71.2833,woman,False,C,Cherbourg,yes,False,False,False,False,False,False
1,1,35.0,1,0,53.1,woman,False,C,Southampton,yes,False,False,False,True,False,False
0,1,54.0,0,0,51.8625,man,True,E,Southampton,no,True,True,False,True,False,False
1,3,4.0,1,1,16.7,child,False,G,Southampton,yes,False,False,False,True,False,True
1,1,58.0,0,0,26.55,woman,False,C,Southampton,yes,True,False,False,True,False,False
1,2,34.0,0,0,13.0,man,True,D,Southampton,yes,True,True,False,True,True,False
1,1,28.0,0,0,35.5,man,True,A,Southampton,yes,True,True,False,True,False,False
0,1,19.0,3,2,263.0,man,True,C,Southampton,no,False,True,False,True,False,False
1,1,49.0,1,0,76.7292,woman,False,D,Cherbourg,yes,False,False,False,False,False,False
0,1,65.0,0,1,61.9792,man,True,B,Cherbourg,no,False,True,False,False,False,False
0,1,45.0,1,0,83.475,man,True,C,Southampton,no,False,True,False,True,False,False
1,2,29.0,0,0,10.5,woman,False,F,Southampton,yes,True,False,False,True,True,False
0,3,25.0,0,0,7.65,man,True,F,Southampton,no,True,True,False,True,False,True
1,1,23.0,3,2,263.0,woman,False,C,Southampton,yes,False,False,False,True,False,False
0,1,46.0,1,0,61.175,man,True,E,Southampton,no,False,True,False,True,False,False
0,1,71.0,0,0,34.6542,man,True,A,Cherbourg,no,True,True,False,False,False,False
1,1,23.0,0,1,63.3583,man,True,D,Cherbourg,yes,False,True,False,False,False,False
0,1,21.0,0,1,77.2875,man,True,D,Southampton,no,False,True,False,True,False,False
0,1,47.0,0,0,52.0,man,True,C,Southampton,no,True,True,False,True,False,False
0,1,24.0,0,1,247.5208,man,True,B,Cherbourg,no,False,True,False,False,False,False
1,2,32.5,0,0,13.0,woman,False,E,Southampton,yes,True,False,False,True,True,False
0,1,54.0,0,1,77.2875,man,True,D,Southampton,no,False,True,False,True,False,False
1,1,19.0,0,2,26.2833,woman,False,D,Southampton,yes,False,False,False,True,False,False
0,1,37.0,1,0,53.1,man,True,C,Southampton,no,False,True,False,True,False,False
0,1,24.0,0,0,79.2,man,True,B,Cherbourg,no,True,True,False,False,False,False
0,2,36.5,0,2,26.0,man,True,F,Southampton,no,False,True,False,True,True,False
1,1,22.0,1,0,66.6,woman,False,C,Southampton,yes,False,False,False,True,False,False
0,1,61.0,0,0,33.5,man,True,B,Southampton,no,True,True,False,True,False,False
0,1,56.0,0,0,30.6958,man,True,A,Cherbourg,no,True,True,False,False,False,False
0,1,50.0,0,0,28.7125,woman,False,C,Cherbourg,no,True,False,False,False,False,False
1,2,1.0,2,1,39.0,child,False,F,Southampton,yes,False,True,False,True,True,False
1,2,3.0,1,1,26.0,child,False,F,Southampton,yes,False,True,False,True,True,False
1,1,44.0,0,0,27.7208,woman,False,B,Cherbourg,yes,True,False,False,False,False,False
1,1,58.0,0,0,146.5208,woman,False,B,Cherbourg,yes,True,False,False,False,False,False
0,3,2.0,0,1,10.4625,child,False,G,Southampton,no,False,False,False,True,False,True
1,1,40.0,0,0,31.0,man,True,A,Cherbourg,yes,True,True,False,False,False,False
1,1,31.0,1,0,113.275,woman,False,D,Cherbourg,yes,False,False,False,False,False,False
1,1,32.0,0,0,76.2917,woman,False,D,Cherbourg,yes,True,False,False,False,False,False
1,1,38.0,1,0,90.0,man,True,C,Southampton,yes,False,True,False,True,False,False
1,1,35.0,1,0,83.475,woman,False,C,Southampton,yes,False,False,False,True,False,False
0,1,44.0,2,0,90.0,man,True,C,Queenstown,no,False,True,True,False,False,False
1,1,37.0,1,1,52.5542,man,True,D,Southampton,yes,False,True,False,True,False,False
0,3,29.0,1,1,10.4625,woman,False,G,Southampton,no,False,False,False,True,False,True
0,1,62.0,0,0,26.55,man,True,C,Southampton,no,True,True,False,True,False,False
1,1,30.0,0,0,86.5,woman,False,B,Southampton,yes,True,False,False,True,False,False
0,1,52.0,1,1,79.65,man,True,E,Southampton,no,False,True,False,True,False,False
0,1,40.0,0,0,0.0,man,True,B,Southampton,no,True,True,False,True,False,False
1,1,58.0,0,1,153.4625,woman,False,C,Southampton,yes,False,False,False,True,False,False
1,1,35.0,0,0,135.6333,woman,False,C,Southampton,yes,True,False,False,True,False,False
0,1,37.0,0,1,29.7,man,True,C,Cherbourg,no,False,True,False,False,False,False
