survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,C,Southampton,yes,False
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,E,Southampton,no,True
1,3,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,Third,child,False,G,Southampton,yes,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,C,Southampton,yes,True
1,2,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,Second,man,True,D,Southampton,yes,True
1,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,A,Southampton,yes,True
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,3,2,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,C,Southampton,no,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,woman,False,D,Cherbourg,yes,False
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,man,True,B,Cherbourg,no,False
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,C,Southampton,no,False
1,2,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,Second,woman,False,F,Southampton,yes,True
0,3,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,Third,man,True,F,Southampton,no,True
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,3,2,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,C,Southampton,yes,False
